,ticker,name,sector,industry,date_added,date_removed,reason_removed,is_in_index
147,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2018-12-03,,,True
148,DLR,Digital Realty,Real Estate,Specialized REITs,2016-05-18,,,True
149,DFS,Discover Financial,Financials,Consumer Finance,2007-07-02,,,True
150,DISH,Dish Network,Communication Services,Cable & Satellite,2017-03-13,,,True
151,DIS,Disney,Communication Services,Movies & Entertainment,1976-06-30,,,True
152,DG,Dollar General,Consumer Discretionary,General Merchandise Stores,2012-12-03,,,True
153,DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,2011-12-19,,,True
154,D,Dominion Energy,Utilities,Electric Utilities,,,,True
155,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-05-12,,,True
156,DOV,Dover Corporation,Industrials,Industrial Machinery,1985-10-31,,,True
157,DOW,Dow Inc.,Materials,Commodity Chemicals,2019-04-01,,,True
158,DTE,DTE Energy,Utilities,Multi-Utilities,1957-03-04,,,True
159,DUK,Duke Energy,Utilities,Electric Utilities,1976-06-30,,,True
160,DD,DuPont,Materials,Specialty Chemicals,2019-04-02,,,True
161,DXC,DXC Technology,Information Technology,IT Consulting & Other Services,2017-04-04,,,True
162,EMN,Eastman Chemical Company,Materials,Diversified Chemicals,1994-01-01,,,True
163,ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,1957-03-04,,,True
164,EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail,2002-07-22,,,True
165,ECL,Ecolab,Materials,Specialty Chemicals,1989-01-31,,,True
166,EIX,Edison International,Utilities,Electric Utilities,1957-03-04,,,True
167,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2011-04-01,,,True
168,EA,Electronic Arts,Communication Services,Interactive Home Entertainment,2002-07-22,,,True
169,ELV,Elevance Health,Health Care,Managed Health Care,2002-07-25,,,True
170,LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,1970-12-31,,,True
171,EMR,Emerson Electric,Industrials,Electrical Components & Equipment,1965-03-31,,,True
172,ENPH,Enphase,Information Technology,Electronic Components,2021-01-07,,,True
173,ETR,Entergy,Utilities,Electric Utilities,1957-03-04,,,True
174,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2000-11-02,,,True
175,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-12-14,,,True
176,EQT,EQT,Energy,Oil & Gas Exploration & Production,2022-10-03,,,True
